OBJECTID,VACCINATION_DATE,Ethnicity,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative
324,2/26/2021 15:00:00,Unknown Ethnicity,1842,83349,1537,37157
325,2/26/2021 15:00:00,Not Hispanic or Latino,23138,732535,22851,414842
326,2/27/2021 15:00:00,Unknown Ethnicity,1545,84894,639,37796
327,2/27/2021 15:00:00,Hispanic or Latino,640,31185,328,17913
328,2/27/2021 15:00:00,Not Hispanic or Latino,13495,746030,9636,424478
329,2/28/2021 15:00:00,Hispanic or Latino,613,31798,170,18083
330,2/28/2021 15:00:00,Unknown Ethnicity,2547,87441,432,38228
331,2/28/2021 15:00:00,Not Hispanic or Latino,12184,758214,3714,428192
332,3/1/2021 15:00:00,Not Hispanic or Latino,20019,778233,9425,437617
333,3/1/2021 15:00:00,Unknown Ethnicity,2855,90296,1275,39503
334,3/1/2021 15:00:00,Hispanic or Latino,1011,32809,387,18470
335,3/2/2021 15:00:00,Unknown Ethnicity,3126,93422,1357,40860
336,3/2/2021 15:00:00,Hispanic or Latino,911,33720,317,18787
337,3/2/2021 15:00:00,Not Hispanic or Latino,19074,797307,10869,448486
338,3/3/2021 15:00:00,Not Hispanic or Latino,24123,821430,15518,464004
339,3/3/2021 15:00:00,Unknown Ethnicity,3886,97308,1488,42348
340,3/3/2021 15:00:00,Hispanic or Latino,1058,34778,620,19407
341,3/4/2021 15:00:00,Not Hispanic or Latino,28502,849932,15386,479390
342,3/4/2021 15:00:00,Unknown Ethnicity,3846,101154,1560,43908
343,3/4/2021 15:00:00,Hispanic or Latino,1409,36187,500,19907
344,3/5/2021 15:00:00,Unknown Ethnicity,3145,104299,1373,45281
345,3/5/2021 15:00:00,Not Hispanic or Latino,27576,877508,16467,495857
346,3/5/2021 15:00:00,Hispanic or Latino,1824,38011,612,20519
347,3/6/2021 15:00:00,Hispanic or Latino,1222,39233,265,20784
348,3/6/2021 15:00:00,Unknown Ethnicity,2414,106713,699,45980
349,3/6/2021 15:00:00,Not Hispanic or Latino,19620,897128,7541,503398
350,3/7/2021 15:00:00,Hispanic or Latino,659,39892,135,20919
351,3/7/2021 15:00:00,Unknown Ethnicity,3148,109861,700,46680
352,3/7/2021 15:00:00,Not Hispanic or Latino,14636,911764,3601,506999
353,3/8/2021 15:00:00,Unknown Ethnicity,2879,112740,726,47406
354,3/8/2021 15:00:00,Hispanic or Latino,1471,41363,253,21172
355,3/8/2021 15:00:00,Not Hispanic or Latino,28912,940676,7291,514290
356,3/9/2021 15:00:00,Not Hispanic or Latino,28787,969463,13383,527673
357,3/9/2021 15:00:00,Unknown Ethnicity,3229,115969,1008,48414
358,3/9/2021 15:00:00,Hispanic or Latino,1538,42901,461,21633
359,3/10/2021 15:00:00,Hispanic or Latino,1712,44613,566,22199
360,3/10/2021 15:00:00,Unknown Ethnicity,3274,119243,1104,49518
361,3/10/2021 15:00:00,Not Hispanic or Latino,31629,1001092,13703,541376
362,3/11/2021 15:00:00,Not Hispanic or Latino,32023,1033115,13835,555211
363,3/11/2021 15:00:00,Hispanic or Latino,1694,46307,686,22885
364,3/11/2021 15:00:00,Unknown Ethnicity,2886,122129,1194,50712
365,3/12/2021 15:00:00,Not Hispanic or Latino,32383,1065498,14029,569240
366,3/12/2021 15:00:00,Hispanic or Latino,2041,48348,617,23502
367,3/12/2021 15:00:00,Unknown Ethnicity,3259,125388,1273,51985
368,3/13/2021 15:00:00,Hispanic or Latino,1167,49515,323,23825
369,3/13/2021 15:00:00,Not Hispanic or Latino,19199,1084697,7674,576914
370,3/13/2021 15:00:00,Unknown Ethnicity,2086,127474,683,52668
371,3/14/2021 15:00:00,Hispanic or Latino,1172,50687,134,23959
372,3/14/2021 15:00:00,Unknown Ethnicity,2228,129702,717,53385
373,3/14/2021 15:00:00,Not Hispanic or Latino,13565,1098262,4448,581362
374,3/15/2021 15:00:00,Hispanic or Latino,1597,52284,306,24265
375,3/15/2021 15:00:00,Unknown Ethnicity,3648,133350,831,54216
