OBJECTID,VACCINATION_DATE,AgeRange,DailyFirstDose,CumulativeFirstDose,DailySecondDose,CumulativeSecondDose
396,1/18/2021 15:00:00,age80plus,1406,14594,307,1520
397,1/19/2021 15:00:00,age20to29,1172,32269,631,4001
398,1/19/2021 15:00:00,age30to39,1675,49107,976,7377
399,1/19/2021 15:00:00,age70to79,4181,22197,253,1419
400,1/19/2021 15:00:00,age40to49,1720,48295,854,6566
401,1/19/2021 15:00:00,age60to69,1512,39589,708,4840
402,1/19/2021 15:00:00,age10to19,59,1491,8,87
403,1/19/2021 15:00:00,age80plus,4059,18653,220,1740
404,1/19/2021 15:00:00,age50to59,1855,52626,884,6620
405,1/20/2021 15:00:00,age30to39,1970,51077,1058,8435
406,1/20/2021 15:00:00,age20to29,1438,33707,733,4734
407,1/20/2021 15:00:00,age40to49,2020,50315,953,7519
408,1/20/2021 15:00:00,age70to79,5406,27603,200,1619
409,1/20/2021 15:00:00,age10to19,89,1580,16,103
410,1/20/2021 15:00:00,age80plus,5125,23778,80,1820
411,1/20/2021 15:00:00,age60to69,2137,41726,707,5547
412,1/20/2021 15:00:00,age50to59,2267,54893,1023,7643
413,1/21/2021 15:00:00,age40to49,2479,52794,632,8151
414,1/21/2021 15:00:00,age20to29,1803,35510,540,5274
415,1/21/2021 15:00:00,age70to79,5605,33208,95,1714
416,1/21/2021 15:00:00,age30to39,2446,53523,703,9138
417,1/21/2021 15:00:00,age10to19,110,1690,5,108
418,1/21/2021 15:00:00,age60to69,2427,44153,477,6024
419,1/21/2021 15:00:00,age50to59,2815,57708,664,8307
420,1/21/2021 15:00:00,age80plus,5108,28886,37,1857
421,1/22/2021 15:00:00,age70to79,6282,39490,209,1923
422,1/22/2021 15:00:00,age40to49,3754,56548,553,8704
423,1/22/2021 15:00:00,age30to39,3392,56915,568,9706
424,1/22/2021 15:00:00,age10to19,95,1785,14,122
425,1/22/2021 15:00:00,age50to59,4036,61744,615,8922
426,1/22/2021 15:00:00,age20to29,2180,37690,348,5622
427,1/22/2021 15:00:00,age60to69,3288,47441,483,6507
428,1/22/2021 15:00:00,age80plus,5162,34048,402,2259
429,1/23/2021 15:00:00,age30to39,1107,58022,263,9969
430,1/23/2021 15:00:00,age40to49,1070,57618,226,8930
431,1/23/2021 15:00:00,age70to79,2017,41507,115,2038
432,1/23/2021 15:00:00,age60to69,960,48401,239,6746
433,1/23/2021 15:00:00,age10to19,47,1832,4,126
434,1/23/2021 15:00:00,age80plus,2292,36340,200,2459
435,1/23/2021 15:00:00,age20to29,802,38492,167,5789
436,1/23/2021 15:00:00,age50to59,1132,62876,265,9187
437,1/24/2021 15:00:00,age50to59,360,63236,341,9528
438,1/24/2021 15:00:00,age20to29,191,38683,136,5925
439,1/24/2021 15:00:00,age10to19,36,1868,7,133
440,1/24/2021 15:00:00,age80plus,1058,37398,172,2631
441,1/24/2021 15:00:00,age30to39,259,58281,231,10200
442,1/24/2021 15:00:00,age70to79,688,42195,111,2149
443,1/24/2021 15:00:00,age40to49,278,57896,245,9175
444,1/24/2021 15:00:00,age60to69,365,48766,313,7059
445,1/25/2021 15:00:00,age40to49,1675,59571,1567,10742
446,1/25/2021 15:00:00,age70to79,4517,46712,403,2552
447,1/25/2021 15:00:00,age60to69,2540,51306,1389,8448
448,1/25/2021 15:00:00,age30to39,1552,59833,1559,11759
449,1/25/2021 15:00:00,age50to59,1680,64916,1819,11347
450,1/25/2021 15:00:00,age10to19,45,1913,38,171
451,1/25/2021 15:00:00,age80plus,3136,40534,435,3066
452,1/25/2021 15:00:00,age20to29,991,39674,865,6790
453,1/26/2021 15:00:00,age80plus,3071,43605,360,3426
454,1/26/2021 15:00:00,age30to39,1765,61598,1522,13281
455,1/26/2021 15:00:00,age10to19,67,1980,40,211
456,1/26/2021 15:00:00,age50to59,1758,66674,1799,13146
457,1/26/2021 15:00:00,age40to49,1772,61343,1585,12327
458,1/26/2021 15:00:00,age60to69,2958,54264,1413,9861
459,1/26/2021 15:00:00,age70to79,4729,51441,541,3093
460,1/26/2021 15:00:00,age20to29,1124,40798,957,7747
461,1/27/2021 15:00:00,age50to59,2376,69050,2588,15734
462,1/27/2021 15:00:00,age60to69,3699,57963,1844,11705
463,1/27/2021 15:00:00,age80plus,4917,48522,541,3967
464,1/27/2021 15:00:00,age10to19,66,2046,64,275
